time(s),mvs,
143.055,-88.62500,
143.256,-88.37500,
143.456,-88.87500,
143.657,-88.75000,
143.857,-88.75000,
144.058,-88.75000,
144.259,-88.62500,
144.459,-88.75000,
144.660,-88.87500,
144.861,-89.00000,
145.061,-89.00000,
145.262,-88.87500,
145.463,-88.87500,
145.663,-89.00000,
145.864,-88.62500,
146.065,-89.12500,
146.265,-88.87500,
146.466,-89.12500,
146.667,-89.00000,
146.867,-89.00000,
147.068,-89.37500,
147.269,-89.12500,
147.469,-89.25000,
147.670,-89.50000,
147.871,-89.12500,
148.071,-89.25000,
148.272,-89.25000,
148.472,-89.37500,
148.673,-89.37500,
148.874,-89.50000,
149.074,-89.37500,
149.275,-89.25000,
149.476,-89.37500,
149.676,-89.37500,
149.877,-89.62500,
